序号,商品标题,标签,店铺名称,店铺评分,价格,佣金比例,佣金类型,预估收益,投放佣金,好评率,带货达人数,销量,月销,排名,商品链接
1,5斤大桶装薰衣草洗衣液薰衣草香气香味持久留香深层洁净特价批发商家投千川低价好卖运费险QINGGUNIANG青姑娘洗护清洁旗舰店91分香味持久洗衣液爆款榜·第8名,商家投千川|低价好卖|运费险,QINGGUNIANG青姑娘洗护清洁旗舰店,91分,9.9,24%,双佣金,2.3,5%,86.29%,"1,755","2,026",,,https://buyin.jinritemai.com/dashboard/product/detail?product_id=3643150184197792104
2,贝德美儿童艾叶泡浴液多重草本精粹舒缓保湿婴幼儿童专用泡浴包高结算率运费险现货贝德美官方旗舰店92分,运费险|现货|高结算率,贝德美官方旗舰店,92分,39,20%,佣金,7.8,,97.73%,22,166,,,https://buyin.jinritemai.com/dashboard/product/detail?product_id=3743366224785047615
3,【到手4瓶】大容量山茶花内衣清洗液*4瓶+1泵头共6斤重温和去渍高结算率运费险现货轩蕊日化工厂店188分,运费险|现货|高结算率,轩蕊日化工厂店1,88分,16.8,37%,佣金,6.2,,90.95%,95,"1,345",,,https://buyin.jinritemai.com/dashboard/product/detail?product_id=3776788440646025423
4,【官方正品】【奥色木】到手2瓶虫草眼霜眼皮松垮眼袋抗皱提拉紧致商家投千川流量扶持分期免息奥色木化妆品旗舰店96分干性肤质眼霜爆款榜·第1名,商家投千川|流量扶持|分期免息,奥色木化妆品旗舰店,96分,69.9,45%,团长,31.4,5%,92.31%,"3,928",2.68万,,,https://buyin.jinritemai.com/dashboard/product/detail?product_id=3601240215454380920
5,植护香氛顽渍净洗衣粉5倍洁净免手搓除菌除螨去污机洗手洗升级款商家投千川运费险现货植护星球植护悦色专卖店95分入选洗衣粉爆款榜,商家投千川|运费险|现货,植护星球植护悦色专卖店,95分,19.9,25%,双佣金,4.9,5%,91.56%,"1,303",7.58万,,,https://buyin.jinritemai.com/dashboard/product/detail?product_id=3801038474371530970
6,【买3件更实惠】心相印茶语精选抽取式加厚亲肤无香纸巾S码家用母婴商家投千川运费险现货心相印集购专卖店100分,商家投千川|运费险|现货,心相印集购专卖店,100分,3.01,7%,团长,0.2,9%,92.32%,"2,223",24.49万,,,https://buyin.jinritemai.com/dashboard/product/detail?product_id=3781562395328119264
7,嵘盛天创半导体冰敷高速手持小风扇高颜值冰感随身户外降温大风力商家投千川流量扶持运费险嵘盛天创官方旗舰店95分入选USB风扇爆款榜,商家投千川|运费险|流量扶持,嵘盛天创官方旗舰店,95分,49.9,5%,双佣金,2.5,5%,96.27%,"1,181",3.1万,,,https://buyin.jinritemai.com/dashboard/product/detail?product_id=3752298483185483953
8,A升级版2026民族风腰果花户外旅游骑行防晒面罩遮脸防紫外线面巾商家投千川流量扶持券减4大洋Studio服配97分,商家投千川|流量扶持,大洋Studio服配,97分,17.9,45%,双佣金,8,15%,90.14%,558,"8,639",,,https://buyin.jinritemai.com/dashboard/product/detail?product_id=3480838397189293513
9,新款韩版3公分酒杯跟时尚拧花显瘦四季浅口细跟女士软底单鞋17117高结算率流量扶持运费险雪米鞋店的小店98分入选时尚单鞋爆款榜,运费险|流量扶持|高结算率,雪米鞋店的小店,98分,89.9,24%,佣金,21.5,,94.84%,299,953,,,https://buyin.jinritemai.com/dashboard/product/detail?product_id=3686381060461035581
10,心相印金装经典抽纸100抽三层纸面巾餐巾家用纸可湿水家用无印花商家投千川运费险现货心相印同筑专卖店87分,商家投千川|运费险|现货,心相印同筑专卖店,87分,0.01,15%,团长,0,15%,97.22%,"1,827","4,907",,,https://buyin.jinritemai.com/dashboard/product/detail?product_id=3796627691235573989
